cid,bookid,catid,title,typeid,thumb,description,gx_type,update_chapter_name,author,status_bz,updatetime,view_type,average_score,rank_id,hit_num,views,vip_tag_name,vip_tag_type
2,2530,31,霸道总裁爱上我,,http://cdn.517w.com/uploadfile/2017/0830/thumb_20170830113542453.jpg,倔强独立的财阀独生女和门风森严的望族长孙定了娃娃亲！她，心有所属；他，矢志复仇；看霸道总裁如何运筹帷幄。家族继承权我要定了！你的心，我也要定了！,2,,笑水轩动漫/夏日紫,,1507979039,0,4.6674,,154451129,78658243,,
2,2328,31,Lala,,http://cdn.517w.com/uploadfile/2019/0524/20190524044640511.jpg,Lily姐妹篇~平行时间中 另一个甜蜜故事~,4,,噼咔噼,,1540602009,1,4.9218,,253493339,269186813,,
2,2312,33,星海迷龙,,http://cdn.517w.com/uploadfile/2017/0830/thumb_20170830122402504.jpg,当放荡不羁的黑二代穿成星际海盗王的儿子，敛财打怪收魔宠，小攻神马的要从蛋养成，看少爷如何把撒娇萌龙养成霸气帝王！,1,,热麦漫画,,1527123607,0,4.8908,,167966756,134989810,,
2,2213,31,星星不是发光体①,,http://cdn.517w.com/uploadfile/2017/0830/thumb_20170830113841899.jpg,陪伴十年的他，魅惑妖孽的他，霸道总裁的他，都为特立独行的她着迷。忽略性别的兄弟之情，不被接受的禁断之情，备受煎熬的狼羊之情，她的心会选择谁？星星不是发光体，真相是你想不到的下一秒。,1,,夏日紫/笑水轩动漫,,1525766699,0,4.8028,,103557739,49381069,,
2,1982,32,天机令,,http://cdn.517w.com/uploadfile/2018/0206/thumb_20180206165112946.jpg,十三岁的少女柳无意从小与师父浪迹街头，打遍同龄人无敌手，被称为临溪一霸，一天，他们在破庙中发现一个死人，从这人身上发现一块奇怪的令牌，从此，平静的生活开始彻底被打破,2,,青羽漫画,,1534402038,0,4.8647,,127723106,117919298,,
2,1966,32,超西游,,http://cdn.517w.com/uploadfile/2017/0831/20170831054802869.jpg,"不一样的西游，不一样的大圣，开启浩大的西游新篇章
超西游读者群号：347222848",0,,纳川,,1545294848,0,4.7821,,1047222937,519057207,,
2,1846,33,厉害了爸爸们,,http://cdn.517w.com/uploadfile/2017/0901/20170901094120257.jpg,没有妈妈怎么了，小豆包有好多爸爸，哼！至于爸爸怎么生的小孩，这种羞羞的事情你去问那个男妇产科医生嘛，他就是小豆包最亲的爸爸啦！,2,,Mr.C懂哲学么少年/南城夫子,,1535536784,0,4.8931,,296377350,256559363,,
2,1456,32,僵尸器圣,,http://cdn.517w.com/uploadfile/2017/1011/20171011051008508.jpg,苏醒的僵尸少年为了能重新复活，离开墓穴踏上旅途，却卷入一场大纷争之中……,0,,蓝茄,,1533866338,0,4.8523,,191874810,135606774,,
2,1378,31,Lily,,http://cdn.517w.com/uploadfile/2017/1214/20171214033751797.jpg,我喜欢的那个人，刚好是她……lily粉丝群号：571810715,8,,噼咔噼,,1550106013,0,4.935,,1544417888,3535485932,,
2,1250,32,十二司月,,http://cdn.517w.com/uploadfile/2017/0830/20170830110323827.jpg,"正月为陬，二月为如，自古历法分为十二个月份，每个月有一位当值的神仙，保佑人间风调雨顺，少病少灾——是为十二司月也。
快递小哥空山一觉醒来被告知竟是第八司月下凡，从此进入了一个光怪陆离的神仙世界。个性迥异的伙伴、形形色色的事件、更有意想不到的危机！独居单身狗要如何变成拉风的大仙！？
粉丝QQ群：397788606",1,,黄二爷/甩枪猫,,1537020295,0,4.8859,,110453036,75939535,,
